"""""CUSTOMER","""""Order","""""Line","""""Split","""""Designation","""""QTY 1","""""QTY 2","""""QTY 3","""""QTY 4","""NET PRICE","""""DPC","""""USER","""""LOTE","""""HOLD REASON","""Registration Date","""""Cancelation Date"
CEMASA,20D0009418,197,A,UC 205-16,22,22,22,22,8.84,CYM,COHLT,,EXP,20201119,20220601
HIVIMAR,21D0000904,2,D,UC 206,2,2,2,2,9.39,CYM,COHLT,,EXP,20210202,20220601
HIVIMAUT,21D0003037,222,B,VKMA 95975,1,1,1,1,76.58,BEL,O690,P000067812,,20210405,20220603
BEARINGS U.S.A,21D0003394,111,B,PER.M88048/10,5,5,5,5,4.67,CYM,COHLT,,EXP,20210414,20220524
H Y T,21D0003673,72,A,VKUA 4558 A,2,2,2,2,7.75,CYM,GV3367,,EXP,20210422,20220608
H Y T,21D0003673,74,A,VKUA 4515 A,3,3,3,3,7.96,CYM,GV3367,,EXP,20210422,20220608
H Y T,21D0003673,75,A,VKUA 4542 A,2,2,2,2,28.74,CYM,GV3367,,EXP,20210422,20220608
H Y T,21D0003673,77,A,VKUA 4565 A,40,40,40,40,7.17,CYM,GV3367,,EXP,20210422,20220608
H Y T,21D0003673,73,A,PER.UCFT204-12-A,1,1,1,1,6.1,CYM,COHLT,,EXP,20210422,20220527
SR BEARINGS,21D0003870,145,A,62306-2RS1,2,2,2,2,15.48,BEL,COHLT,,EXP,20210429,20220525
INVASA,21D0004048,156,A,PER.LM48548/10,10,10,10,10,2.6,CYM,COHLT,,EXP,20210505,20220602
BEARINGS U.S.A,21D0004227,90,A,PER.L44643/10,2,2,2,2,3.13,CYM,COHLT,,EXP,20210511,20220527
BEARINGS U.S.A,21D0004227,94,A,UC 208,10,10,10,10,14.86,CYM,COHLT,,EXP,20210511,20220527
BEARINGS U.S.A,21D0004232,846,A,6309-2Z/C3GJN,69,69,69,69,8.15,BEL,COHLT,,EXP,20210511,20220603
BEARINGS U.S.A,21D0004232,847,A,6309-2Z/C3GJN,31,31,31,31,8.15,BEL,COHLT,,EXP,20210511,20220603
BEARINGS U.S.A,21D0004232,848,A,6309-2Z/C3GJN,37,37,37,37,8.15,BEL,COHLT,,EXP,20210511,20220603
AGENCIAS,21D0004545,13,A,PER.JLM104910,188,188,188,188,1.49,BEL,GR8643,,EXP,20210520,20220607
BEARINGS,21D0004550,219,B,FNL 516 A,1,1,1,1,222.24,BEL,O690,P000067634,,20210520,20220523
SR BEARINGS,21D0004775,2,A,2216 ETN9,2,2,2,2,69.88,BEL,COHLT,,EXP,20210526,20220601
SR BEARINGS,21D0004775,50,A,KM 8,20,20,20,20,2.9,BEL,COHLT,,EXP,20210526,20220525
CEMASA,21D0005039,84,A,PER.6205-2RLDC3V2,150,150,150,150,1.55,CYM,COHLT,,EXP,20210604,20220601
CEMASA,21D0005165,147,C,FY 2.1/2 TF,3,3,3,3,61.75,BEL,O690,,EXP,20210609,20220530
CEMASA,21D0005165,147,G,FY 2.1/2 TF,2,2,2,2,61.75,BEL,O690,,EXP,20210609,20220530
CEMASA,21D0005165,147,D,FY 2.1/2 TF,3,3,3,3,61.75,BEL,O690,,EXP,20210609,20220530
CEMASA,21D0005165,147,E,FY 2.1/2 TF,4,4,4,4,61.75,BEL,O690,,EXP,20210609,20220530
CEMASA,21D0005165,147,H,FY 2.1/2 TF,1,1,1,1,61.75,BEL,O690,,EXP,20210609,20220530
CEMASA,21D0005165,147,F,FY 2.1/2 TF,1,1,1,1,61.75,BEL,O690,,EXP,20210609,20220530
CEMASA,21D0005165,147,I,FY 2.1/2 TF,1,1,1,1,61.75,BEL,O690,,EXP,20210609,20220530
CEMASA,21D0005165,274,A,KM 15,5,5,5,5,8.97,BEL,O690,,EXP,20210609,20220530
SR BEARINGS,21D0005494,58,A,SY 20 TF,5,5,5,5,15.8,BEL,COHLT,,EXP,20210618,20220525
