Cliente;Orden;Designación;Cantidad;Fecha de Reingreso
AGEN DOMIN;22D0005139;22316 E/C3;4;23/5/2022
AGENCIASAUT;21D0011481;PER.32210;3;6/6/2022
ASERVIROD;21D0008647;16002-2Z;20;31/5/2022
ASERVIROD;21D0010843;16002-2Z;20;31/5/2022
ASERVIROD;22D0000537;2211 EKTN9/C3;10;26/5/2022
ASERVIROD;22D0000537;H 318;4;26/5/2022
ASERVIROD;22D0000537;RBC4-0113;4;31/5/2022
ASERVIROD;22D0001696;6208-2RS1/C3;52;2/6/2022
ASERVIROD;22D0001696;6208-2RS1/C3;16;2/6/2022
ASERVIROD;22D0001696;6210-2RS1/C3;24;2/6/2022
ASERVIROD;22D0001696;6210-2RS1/C3;19;2/6/2022
ASERVIROD;22D0001696;6324/C3;1;2/6/2022
ASERVIROD;22D0001696;6312-2Z;4;26/5/2022
ASERVIROD;22D0003121;22209 EK/C3;6;26/5/2022
ASERVIROD;22D0003121;61813-2RS1;5;26/5/2022
ASERVIROD;22D0004161;61813-2RS1;5;26/5/2022
ASERVIROD;22D0003121;FY 2. TF;5;26/5/2022
ASERVIROD;22D0004161;FY 2. TF;20;26/5/2022
ASERVIROD;22D0003123;Y/UCFL 207;3;30/6/2022
ASERVIROD;22D0005569;Y/UCFL 207;3;2/6/2022
ASERVIROD;22D0004161;PHC 120-2X10FT;3;2/6/2022
ASERVIROD;22D0004161;32011 X;10;4/6/2022
ASERVIROD;22D0004161;51103;10;26/5/2022
ASERVIROD;22D0004161;51112;2;26/5/2022
ASERVIROD;22D0004161;22212 EK;4;26/5/2022
ASERVIROD;22D0004161;22316 E;2;26/5/2022
ASERVIROD;22D0004161;3309 A;4;26/5/2022
ASERVIROD;22D0004161;6206-2RS1/C3;200;26/5/2022
ASERVIROD;22D0004161;7309 BECBM;2;26/5/2022
ASERVIROD;22D0004161;6010/C3;6;26/5/2022
ASERVIROD;22D0004161;61830 MA;2;26/5/2022
ASERVIROD;22D0004161;6216-2RS1/C3;4;26/5/2022
ASERVIROD;22D0004161;6301-2Z;50;26/5/2022
ASERVIROD;22D0004161;6317 M/C3;2;26/5/2022
ASERVIROD;22D0004161;6317/C3;2;26/5/2022
ASERVIROD;22D0004161;HA 3128;2;26/5/2022
ASERVIROD;22D0004161;22216 EK/C3;10;27/5/2022
ASERVIROD;22D0004161;TSN 526 L;10;27/5/2022
ASERVIROD;22D0004161;6003-2RSH/C3;200;31/5/2022
ASERVIROD;22D0004286;SNL 522-619 K7;2;26/5/2022
AUTOJAPONES;22D0005776;VKBA 6699;2;7/6/2022
BEARINGS;22D0003747;KM 27;6;31/5/2022
CASA PELLAS;22D0002912;PER.FH205-16;215;1/6/2022
CASA PELLAS;22D0002912;PER.FH205-16;19;1/6/2022
CASA PELLAS;22D0002927;PER.FHG209-28;30;1/6/2022
CECUAMAQ;22D0001779;LGHQ 2/MR380;10;2/6/2022
CECUAMAQ;22D0001779;LGFQ 2/18;54;2/6/2022
CECUAMAQ;22D0001779;LGFQ 2/18;13;2/6/2022
CEMASA;21D0010065;FY 2.1/2 TF;4;1/6/2022
CEMASA;21D0010065;FY 2.1/2 TF;6;1/6/2022
CEMASA;21D0010065;FY 2.1/2 TF;15;1/6/2022
CEMASA;21D0007308;1209 EKTN9/C3;2;31/5/2022
CEMASA;22D0000367;1209 EKTN9/C3;10;31/5/2022
CEMASA;21D0010065;YAR 216-300-2F;2;1/6/2022
CEMASA;21D0010065;YAR 216-300-2F;17;1/6/2022
CEMASA;21D0010065;FY 3/4 TF;44;1/6/2022
CEMASA;21D0010342;PER.6209-2RLDC3V2;20;6/6/2022
CEMASA;21D0010342;PER.UCFT208-24-A;5;25/5/2022
CEMASA;21D0010342;UC 211-32;14;1/6/2022
CEMASA;21D0011514;UC 211-32;16;1/6/2022
CEMASA;22D0002309;LGHQ 2/MR380B;60;1/6/2022
CEMASA;21D0011514;UCP 207-20;46;31/5/2022
CEMASA;21D0011514;UCF 205-14;32;31/5/2022
CEMASA;21D0011514;UCF 205-14;8;31/5/2022
CEMASA;21D0011514;PER.UCFT206-19-A;30;31/5/2022
CEMASA;21D0011514;UCF 206-18;6;1/6/2022
CEMASA;21D0011514;UCF 205-15;56;1/6/2022
CEMASA;21D0011514;UCF 205-15;71;1/6/2022
CEMASA;21D0011514;UCP 213;1;1/6/2022
CEMASA;21D0011514;UCF 207-22;26;1/6/2022
CEMASA;21D0011606;LGHQ 2/MR380B;10;25/5/2022
CEMASA;21D0012372;PHG 5VX1150EP;6;31/5/2022
CEMASA;22D0000367;6206-2Z/C3GJN;40;31/5/2022
CEMASA;22D0000367;6206-2Z/C3GJN;360;31/5/2022
CEMASA;22D0000367;6309-2RS1/C3GJN;124;31/5/2022
CEMASA;22D0000367;6309-2RS1/C3GJN;10;31/5/2022
CEMASA;22D0000367;6309-2RS1/C3GJN;16;31/5/2022
CEMASA;22D0000367;1209 EKTN9;10;31/5/2022
CEMASA;22D0000367;FY 1.1/4 TF;50;31/5/2022
CEMASA;22D0000367;SY 1.1/2 FM;10;31/5/2022
CEMASA;22D0000367;625-2RS1;20;31/5/2022
CEMASA;22D0000367;SY 2.3/16 TF;4;31/5/2022
CEMASA;22D0000367;SY 2.3/16 TF;8;31/5/2022
CEMASA;22D0000367;FY 1.1/2 TF;35;1/6/2022
CEMASA;22D0000367;FYTB 3/4 TF;50;1/6/2022
CEMASA;22D0000367;6007-2RS1;10;1/6/2022
CEMASA;22D0000368;YAR 211-2F;20;1/6/2022
CEMASA;22D0000368;6003-2RSH/C3;150;1/6/2022
CEMASA;22D0000369;6003-2RSH/C3;60;31/5/2022
CEMASA;22D0000368;6014-2RS1/C3;6;1/6/2022
CEMASA;22D0000368;6203-2RSHNR;71;1/6/2022
CEMASA;22D0000369;W 6200-2RS1;12;31/5/2022
CEMASA;22D0001625;LL/506-108-VS;100;31/5/2022
CEMASA;22D0001625;LL/506-108-VS;60;31/5/2022
CEMASA;22D0002309;PHG 5VX630EP;3;31/5/2022
CEMASA;22D0002309;PHG 5VX1060EP;24;31/5/2022
CEMASA;22D0002309;PHG 5VX1060EP;4;31/5/2022
CEMASA;22D0002309;PHG 5VX1060EP;21;31/5/2022
CEMASA;22D0002309;PHG 5VX670EP;9;31/5/2022
CEMASA;22D0002309;PHG 5VX670EP;11;31/5/2022
CEMASA;22D0002309;PHG 5VX850EP;20;31/5/2022
CEMASA;22D0002309;TLSD 1-DS;10;31/5/2022
CEMASA;22D0004582;TLSD 1-DS;10;31/5/2022
CEMASA;22D0002999;TU.F1.46081053;2;31/5/2022
CEMASA;22D0002999;TU.R1.46091072;10;31/5/2022
CEMASA;22D0002999;TU.R1.46091064;3;31/5/2022
CEMASA;22D0002999;TU.R1.46091147;6;31/5/2022
CEMASA;22D0003015;SNL 509;10;31/5/2022
CEMASA;22D0003461;PHG 5VX1000EP;21;31/5/2022
CEMASA;22D0003461;PHG B162;10;31/5/2022
CEMASA;22D0003461;PHG 3VX560EP;50;1/6/2022
CEMASA;22D0004605;LL/303-19346-2;10;31/5/2022
